FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1DateStart,Season1DateEnd,Season1Time 1,Season1Time 2,Season1Time 3,Season1Time 4,Season1Time 5,Season1Time 6,Season1Time 7,Season1Time 8,Season2DateStart,Season2DateEnd,Season2Time 1,Season2Time 2,Season2Time 3,Season2Time 4,Season2Time 5,Season2Time 6,Season2Time 7,Season2Time 8,Season3DateStart,Season3DateEnd,Season3Time 1,Season3Time 2,Season3Time 3,Season4DateStart,Season4DateEnd,Season4Time 1,Season4Time 2,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1010487,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,,,,Corner of Remsburg Drive & Cummings St,Abingdon,Washington,Virginia,24212,,,Sat: 10:00 AM-12:00 PM,,,,,,,,2021-03-04T00:00:00Z,2021-03-04T00:00:00Z,Tue: 3:00 PM-6:00 PM,Sat: 8:00 AM-1:00 PM,,,,,,,2021-02-10T00:00:00Z,2021-02-10T00:00:00Z,Sat: 10:00 AM-12:00 PM,,,,,,,-81.977160,36.708863,,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,2023-03-01T09:20:08Z
1019695,Abita Springs Art & Farmers Market,https://www.townofabitasprings.com/farmers-market,https://www.facebook.com/abitasprings.farmersmarket/,,,https://www.instagram.com/abitasprings.farmersmarket/,22049 Main Street,Abita Springs,St. Tammany,Louisiana,70420,,,Sun: 11:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.038907,30.479064,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,2020-04-09T03:16:48Z
1021442,Adams County Farmer's Market,,facebook.com/acohfarmersmarket,,,instagram.com/acohfarmersmarket,110 W. Main St.,West Union,Adams,Ohio,45693,2021-08-05T00:00:00Z,2021-08-05T00:00:00Z,Sat: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.546357,38.795296,,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,2021-08-04T11:21:54Z
1019676,Adams County Farmers Market,,www.facebook.com/AdamsCountyFarmersMarket,https://twitter.com/ACFarmFresh,,,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325,2020-06-05T00:00:00Z,2021-02-10T00:00:00Z,Sat: 8:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.234147,39.830597,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,2019-08-08T02:37:59Z
1019351,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,www.facebook.com/AdamsCountyFarmersMarket,https://twitter.com/https://twitter.com/ACFarmFresh,,www.instagram.com/adamscountyfarmersmarket,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325,2020-06-05T00:00:00Z,2021-02-10T00:00:00Z,Thu: 11:30 AM-3:30 PM,Sat: 8:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,-77.234147,39.830597,,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,2019-08-01T05:15:25Z
1019847,Adams-Ricci Farmers Market,,https://www.facebook.com/FarmersAtAdamsRicciParkEast/,https://twitter.com/adamsriccifm,n/a,https://www.instagram.com/adamsriccifarmersmarket/,100 East Penn Drive,Enola,Cumberland,Pennsylvania,17025,2021-09-05T00:00:00Z,2021-10-10T00:00:00Z,Thu: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.937407,40.273997,,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,2022-01-04T10:26:33Z
1008961,Adaptations' Fresh Feast,http://www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,https://twitter.com/https://twitter.com/MaureenDatta,,http://instagram.com/adaptationskona,"79-7500 Mamalahoa Highway, Unit 1",Kealakekua,Hawaii,Hawaii,96750,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,Mon: 8:00 AM-4:00 PM,Tue: 8:00 AM-4:00 PM,Wed: 8:00 AM-4:00 PM,Thu: 8:00 AM-4:00 PM,Fri: 8:00 AM-4:00 PM,Sun: 10:00 AM-4:00 PM,,,,,,,,,,,,,,,,,,,,,,-155.9236509,19.5257840,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,2023-01-01T05:42:25Z
1019203,AG Farmers' Market,http://AGFarmersMarket.com,http://www.facebook.com/AGFarmersMarket,https://twitter.com/http://twitter.com/AGFarmMarket,,http://www.instagram.com/agfarmersmarket,108 Indian Head Road,Toms River,Ocean,New Jersey,08753,2018-02-08T00:00:00Z,2018-02-08T00:00:00Z,Thu: 9:00 AM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.207478,39.992509,,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,2018-01-08T09:40:50Z
1012233,Agricenter International Farmer's Market,http://www.agricenter.org/farmersmarket/,https://www.facebook.com/farmersmarketmemphis/,https://twitter.com/https://twitter.com/Agricenter_Intl,https://www.youtube.com/channel/UCGksUsmHEJonFv5cwivsjZA,https://www.instagram.com/agricenterinternational/,7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120,2018-01-05T00:00:00Z,2020-07-10T00:00:00Z,Mon: 7:30 AM-5:30 PM,Tue: 7:30 AM-5:30 PM,Wed: 7:30 AM-5:30 PM,Thu: 7:30 AM-5:30 PM,Fri: 7:30 AM-5:30 PM,Sat: 7:00 AM-5:30 PM,,,,,,,,,,,,,,,,,,,,,,-89.801733,35.127452,,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,2020-02-07T04:07:49Z
1005258,Aina Moana  Park (People's Open Market),http://www.honolulu.gov/parks/programs/pom,,,,,1201 Ala Moana Boulevard,Honolulu,Honolulu,Hawaii,96822,2019-01-01T00:00:00Z,2021-07-12T00:00:00Z,Mon: 10:00 AM-11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,-157.844930,21.287867,,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,2020-12-01T03:55:52Z
1008054,Airport Farmers and Flea Market,,https://www.facebook.com/airportfarmersandfleamarket,,,,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,2020-01-01T00:00:00Z,2022-07-12T00:00:00Z,Sat: 8:00 AM-3:00 PM,Sun: 8:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,-82.441514,28.481294,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,2020-11-09T10:04:15Z
1008612,Alachua County Farmers' Market,http://www.441market.com,https://www.facebook.com/441acfmarket,,,http://pinterest.com/441market,5920 NW 13th Street,Gainesville,Alachua,Florida,32653,2018-01-01T00:00:00Z,2020-07-12T00:00:00Z,Sun: 8:30 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.3525150,29.7106652,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,2020-02-07T11:10:19Z
1018304,Alamo Heights Farmers Market,,https://www.facebook.com/AlamoHeightsFarmersMarket/,https://twitter.com/https://twitter.com/AlamoHeightsFM,,https://www.instagram.com/alamoheightsfm/?hl=en,255 E Basse,San Antonio,Bexar,Texas,78209,2018-01-01T00:00:00Z,2020-07-12T00:00:00Z,Sun: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.481174,29.493258,,Y,N,N,N,N,-,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,2018-06-08T10:42:44Z
1004070,Alamosa Farmers Market,http://www.alamosafarmersmarket.org,https://www.facebook.com/pages/Alamosa-Farmers-Market/104375596315429?fref=ts,,,,Corner of 6th Street and State Avenue's Parking Lot,Alamosa,Alamosa,Colorado,81101,2020-11-07T00:00:00Z,2020-10-10T00:00:00Z,Sat: 8:00 AM-1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.865006,37.467321,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,2020-10-09T04:19:54Z
1019371,Albany IN Farmers Market,,https://www.facebook.com/Albany-IN-Farmers-Market-405175829889200/?modal=admin_todo_tour,,,,208 E. State Street,Albany,Delaware,Indiana,47320,2019-05-05T00:00:00Z,2020-01-10T00:00:00Z,Sun: 2:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.235831,40.299191,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2019-02-02T03:43:21Z
1000519,Alexandria Bay Farmers Market,http://www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,,,,Route 12,Alexandria Bay,Jefferson,New York,13607,2015-11-05T00:00:00Z,2015-11-05T00:00:00Z,Fri: 9:00 AM-3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.916118,44.331171,,Y,Y,N,N,N,-,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,2021-01-02T11:02:22Z
1019113,Alexandria Farmers Market,,"Alexandria, MN Farmers Market",,,,Broadway & Second Ave,Alexandria,Douglas,Minnesota,56308,2020-01-12T00:00:00Z,2020-01-12T00:00:00Z,Tue: 9:00 AM-12:00 PM,Thu: 3:00 PM-6:00 PM,Sat: 9:00 AM-12:00 PM,,,,,,2020-01-05T00:00:00Z,2020-01-10T00:00:00Z,Sat: 9:00 AM-12:00 PM,,,,,,,,,,,,,,,,,-95.375902,45.890762,,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2021-05-01T10:22:24Z
1021464,Alexandria Farmers Market,https://www.louisiana-central.com/alexandria-farmers-market,https://www.facebook.com/AlexandriaFarmersMarket,,,https://www.instagram.com/alexandriafarmersmarket/,2727 JACKSON STREET,Alexandria,Rapides,Louisiana,71301,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,Tue: 3:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.466488,31.294467,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,2021-07-05T12:43:38Z
1019831,Allen County Farmers' Market,http://www.acfarmersmarket.com,Allen County Farmers' Market,,,,Jefferson,IOLA,Allen,Kansas,66749,2021-01-04T00:00:00Z,2021-01-04T00:00:00Z,Thu: 5:30 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.400669,37.927427,,Y,N,N,Y,Y,-,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2022-02-01T11:51:05Z
1019832,Allen County Farmers' Market,http://www.acfarmersmarket.com,Allen County Farmers' Market,,,,807  N. State,Iola,Allen,Kansas,66749,2021-01-04T00:00:00Z,2021-01-04T00:00:00Z,Thu: 5:30 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.400669,37.927427,,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,2022-02-01T11:53:33Z
1012389,Aloha Community Farmers' Market,http://www.alohacommunityfarmersmarket.org,https://www.facebook.com/Aloha-Community-Farmers-Market-913645008655691/,https://twitter.com/AlohaFarmMarket,,Instagram: Aloha Community Farmers' Market,17675 SW Farmington Rd and SW Kinnaman Rd,Aloha,Washington,Oregon,97007,2019-02-05T00:00:00Z,2021-02-09T00:00:00Z,Thu: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-122.858722,45.480164,,Y,Y,N,Y,Y,-,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,2019-05-06T11:04:30Z
1020150,Alturas Farmers Market,http://svsaturdaymarket.org/,https://www.facebook.com/ModocCFM/,,,,108 S Main St,Alturas,Modoc,California,96101,2020-04-07T00:00:00Z,2020-10-10T00:00:00Z,Sun: 9:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.542201,41.483907,,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,2021-09-08T12:20:23Z
1021309,Ambler Farmers' Market,http://www.farmtocitymarkets.com,https://www.facebook.com/FarmToCity,,,,29 West Butler Pike,Ambler,Montgomery,Pennsylvania,19002,2021-08-05T00:00:00Z,2021-08-05T00:00:00Z,Sat: 9:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.225298,40.153501,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,2023-02-01T02:26:25Z
1011171,Ames Main Street Farmers' Market,http://www.amesmainsteetfarmersmarket.com,Ames Main Street Farmers' Market,,,,300 & 400 Blocks of  Main Street,"Ames, IA",Story,Iowa,50010,2021-01-05T00:00:00Z,2021-01-05T00:00:00Z,Sat: 8:00 AM-12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.614943,42.025222,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,2021-05-01T02:44:07Z
1003563,Amicalola Regional Farmers Market,,https://www.facebook.com/amicalolafarmersmarket/,,,,186 Recreation Road,Dawsonville,Dawson,Georgia,30534,2018-04-05T00:00:00Z,2020-04-09T00:00:00Z,Fri: 3:30 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.099043,34.437795,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,2020-02-07T04:05:11Z
1019438,Amqui Station Farmers Market,https://amquistation.org/farmers-market/,,,,,303 Madison Street,Madison,Davidson,Tennessee,37115,2019-05-05T00:00:00Z,2021-03-10T00:00:00Z,Sun: 11:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.717491,36.257792,,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,2020-10-03T07:12:12Z
1012157,Anaconda Community Market,,https://www.facebook.com/groups/478915098830452/,,,,Kennedy Common (306 Main),Anaconda,Deer Lodge,Montana,59711,2017-07-07T00:00:00Z,2020-08-09T00:00:00Z,Tue: 4:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.139108,46.099059,,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,2021-02-09T10:53:53Z
1005944,Anacortes Farmers Market,http://www.anacortesfarmersmarket.org,https://www.facebook.com/AnacortesFarmersMarket,,,,611 R Avenue,Anacortes,Skagit,Washington,98221,2020-02-05T00:00:00Z,2022-07-10T00:00:00Z,Sat: 9:00 AM-2:00 PM,,,,,,,,2021-09-11T00:00:00Z,2021-10-11T00:00:00Z,Sat: 10:00 AM-4:00 PM,Sun: 10:00 AM-4:00 PM,,,,,,,2020-11-01T00:00:00Z,2020-11-04T00:00:00Z,Sat: 9:00 AM-2:00 PM,,,,,,,-122.609181,48.516974,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,2020-10-09T03:39:44Z
1019647,Anderson County Farmers Market,https://www.andersoncountysc.org/parks/,www.facebook.com/andersoncountyfarmersmarket,,,,402 N. Murray Ave,Anderson,Anderson,South Carolina,29621,2019-01-05T00:00:00Z,2021-01-05T00:00:00Z,Sat: 10:00 AM-2:00 PM,,,,,,,,2019-01-06T00:00:00Z,2021-02-11T00:00:00Z,Tue: 8:00 AM-1:00 PM,Thu: 8:00 AM-1:00 PM,Sat: 8:00 AM-1:00 PM,,,,,,2021-06-11T00:00:00Z,2020-09-12T00:00:00Z,Sat: 10:00 AM-2:00 PM,,,,,,,-82.652197,34.506898,,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,2021-06-07T09:44:15Z
1020084,Anderson County Farmers Market,,AndersonCoFarmersMarket,,,,1505 US-127 N,Lawrenceburg,Anderson,Kentucky,40342,2020-02-05T00:00:00Z,2022-07-10T00:00:00Z,Sat: 2:00 PM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.917629,38.076447,,Y,N,N,Y,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,2021-04-01T07:27:47Z
1003516,Andersonville Farmers Market,http://www.andersonvillemarket.org,https://www.facebook.com/andersonville?ref=bookmarks,,,,1500 W. Catalpa Ave.,Chicago,Cook,Illinois,60640,2020-10-06T00:00:00Z,2021-09-10T00:00:00Z,Wed: 3:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.668602,41.981745,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,2020-07-06T06:00:25Z
1020060,Andover Farmers Market,http://andoverfarmersmarket.com/,https://www.facebook.com/andoverfarmersmarket/?view_public_for=153480551390115,,,https://www.instagram.com/andovermafarmersmarket/,41 Central Street,Andover,Essex,Massachusetts,01810,2022-07-06T00:00:00Z,2022-07-06T00:00:00Z,Sat: 10:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.143138,42.653616,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,2022-09-06T01:03:59Z
